SNID: 2018oh
RA: 136.66475
DECL: 19.33827

VARLIST:  MJD  FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     DQ     MAGERR OBJTYPE
OBS: 58195.092150 B 18501.30274 302.44233 16.83199 0.01775 0 0x00000001 0x0000
OBS: 58195.093910 V 45850.65237 489.07758 15.84664 0.01158 0 0x00000001 0x0000
OBS: 58195.100290 g 27674.50607 279.91862 16.39480 0.01098 0 0x00000001 0x0000
OBS: 58195.101680 i 51420.22806 404.47006 15.72217 0.00854 0 0x00000001 0x0000
OBS: 58195.103230 r 62986.61036 471.12824 15.50188 0.00812 0 0x00000001 0x0000
OBS: 58196.074750 r 61140.81231 470.50724 15.53417 0.00836 0 0x00000001 0x0000
OBS: 58196.075900 i 53248.67704 436.99090 15.68423 0.00891 0 0x00000001 0x0000
OBS: 58196.076900 g 27982.31319 281.41863 16.38279 0.01092 0 0x00000001 0x0000
OBS: 58196.081130 V 17188.49724 1789.42659 16.91191 0.11306 1 0x00000003 0x0000
OBS: 58196.083090 B 17211.18322 282.89253 16.91047 0.01785 0 0x00000001 0x0000
OBS: 58197.093310 B 16082.38468 265.25128 16.98412 0.01791 0 0x00000001 0x0000
OBS: 58197.094700 V 44946.46279 517.44689 15.86826 0.01250 0 0x00000001 0x0000
OBS: 58197.098590 g 24316.24387 242.83281 16.53526 0.01085 0 0x00000001 0x0000
OBS: 58197.100060 i 16743.80715 1940.50543 16.94036 0.12586 1 0x00000003 0x0000
OBS: 58197.101060 r 55275.53007 428.97512 15.64367 0.00843 0 0x00000001 0x0000
OBS: 58198.034460 r 54654.78033 438.76963 15.65593 0.00872 0 0x00000001 0x0000
OBS: 58198.035450 i 46975.31002 400.97963 15.82033 0.00927 0 0x00000001 0x0000
OBS: 58198.036690 g 24157.86145 266.86056 16.54235 0.01200 0 0x00000001 0x0000
OBS: 58198.040420 V 40994.05957 436.62807 15.96820 0.01157 0 0x00000001 0x0000
OBS: 58198.042080 B 15677.34048 266.06435 17.01182 0.01843 0 0x00000001 0x0000
OBS: 58200.081020 B 13226.78363 240.61277 17.19636 0.01976 0 0x00000001 0x0000
OBS: 58200.083390 V 23764.73955 899.29936 16.56017 0.04110 1 0x00000003 0x0000
OBS: 58200.088990 g 15060.55214 414.95914 17.05540 0.02992 1 0x00000003 0x0000
OBS: 58200.090050 i 28641.44935 860.65194 16.35751 0.03263 1 0x00000003 0x0000
OBS: 58200.091980 r 37035.34735 889.47245 16.07846 0.02608 1 0x00000003 0x0000
OBS: 58201.065930 r 44882.89925 433.72674 15.86980 0.01049 0 0x00000001 0x0000
OBS: 58201.067370 i 39751.02607 403.65097 16.00163 0.01103 0 0x00000001 0x0000
OBS: 58201.068410 g 21303.01567 288.58697 16.67890 0.01471 0 0x00000001 0x0000
OBS: 58201.072750 V 35728.85954 433.22998 16.11745 0.01317 0 0x00000001 0x0000
OBS: 58201.073760 B 13810.95028 286.21525 17.14944 0.02251 0 0x00000001 0x0000
OBS: 58202.083370 r 41771.48820 419.71945 15.94780 0.01091 0 0x00000001 0x0000
OBS: 58202.084660 i 37875.67078 433.17758 16.05410 0.01242 0 0x00000001 0x0000
OBS: 58202.085780 g 21258.86984 308.98654 16.68115 0.01578 0 0x00000001 0x0000
OBS: 58202.090580 V 32957.99251 444.59640 16.20510 0.01465 0 0x00000001 0x0000
OBS: 58202.091820 B 12404.66919 286.58093 17.26604 0.02509 0 0x00000001 0x0000
OBS: 58203.083470 r 39405.44850 393.02888 16.01111 0.01083 0 0x00000001 0x0000
OBS: 58203.085020 i 12499.35100 1588.17635 17.25778 0.13799 1 0x00000003 0x0000
OBS: 58203.086040 g 18981.17302 281.25123 16.80419 0.01609 0 0x00000001 0x0000
OBS: 58203.091280 V 31933.44179 445.53796 16.23939 0.01515 0 0x00000001 0x0000
OBS: 58203.092480 B 13307.61526 300.72368 17.18975 0.02454 0 0x00000001 0x0000
OBS: 58204.100170 r 40396.73160 1276.14350 15.98413 0.03431 0 0x00000001 0x0000
OBS: 58204.102670 r 37802.09497 1119.03908 16.05621 0.03215 0 0x00000001 0x0000
OBS: 58204.103750 i 31077.77485 1252.14086 16.26888 0.04376 0 0x00000001 0x0000
OBS: 58204.104790 g 19154.51338 852.27992 16.79432 0.04832 0 0x00000001 0x0000
OBS: 58215.069660 r 26271.68659 244.80203 16.45128 0.01012 0 0x00000001 0x0000
OBS: 58215.071280 i 20898.18872 253.06608 16.69973 0.01315 0 0x00000001 0x0000
OBS: 58215.072820 g 15837.80110 161.59569 17.00076 0.01108 0 0x00000001 0x0000
OBS: 58215.081930 V 23062.50290 267.71855 16.59273 0.01261 0 0x00000001 0x0000
OBS: 58215.083580 B 10588.84261 174.35224 17.43788 0.01788 0 0x00000001 0x0000
OBS: 58220.024280 r 21890.27251 182.45060 16.64937 0.00905 0 0x00000001 0x0000
OBS: 58220.026240 i 16802.71170 178.49170 16.93655 0.01154 0 0x00000001 0x0000
