Name,RA,Dec,l,b,Peak mag,Peak time,Disc date,Type,PS prob,Redshift,MW E(B-V)
2020add,155.00940896302,6.631787873550481,235.62434929061524,48.65193029101288,19.13,2020-01-17 11:38:24,2020-01-17 00:00:00,SN Ia,,0.10800000000000001,0.019
2020aqq,136.944592787813,28.0270617115897,198.17146143894504,40.88471665696738,20.5691,2020-01-22 12:33:07,2020-01-22 00:00:00,None,,,0.025
10AYSEanx,135.71045748809098,25.444105791658203,201.09380343186342,39.187226734193715,20.4235,2020-01-22 12:31:29.786000,2020-01-22 00:00:00,None,,,0.035
10AYSEamm,134.562004584396,24.826274984433102,201.49601492416207,38.019371205462384,20.6131,2020-01-22 12:31:29.786000,2020-01-26 00:00:00,None,,,0.028999999999999998
10AYSEamk,135.378282347904,25.5654104215555,200.84136946480334,38.92998051110473,20.9864,2020-01-22 12:31:29.786000,2020-01-22 00:00:00,None,,,0.032
10AYSEanw,136.638027885556,23.8218278987816,203.4102870768456,39.556058678908045,20.4906,2020-01-22 12:32:47.580000,2020-01-22 00:00:00,None,,,0.035
2020aql,142.142141551088,24.381955854969,204.5047710829132,44.54548815067251,20.7976,2020-01-22 12:34:04.421000,2020-01-22 00:00:00,None,,,0.025
2020aqi,139.718365906544,23.7931736721795,204.48049797911867,42.25588277082479,21.0938,2020-01-22 12:34:04.421000,2020-01-22 00:00:00,None,,,0.040999999999999995
10AYSEaof,140.220935685453,27.3874976803077,199.87236544384493,43.574898940589364,20.8247,2020-01-22 12:34:45.280000,2020-01-26 00:00:00,None,,,0.023
2020aqk,191.854829294127,16.424360999428803,297.75607094489175,79.25570164982422,20.22,2020-01-22 13:49:26,2020-01-22 00:00:00,None,,,0.026000000000000002
10AYSEaoa,193.53268347983501,17.862309035668897,306.9056080763756,80.71327347768965,20.9046,2020-01-22 13:49:33.268000,2020-01-22 00:00:00,None,,,0.022000000000000002
10AYSEanu,193.05848209293202,20.2664928580615,304.4941163756865,83.13582581297753,20.326,2020-01-22 13:50:11.223000,2020-01-22 00:00:00,None,,,0.02
2019uit,192.56703596700402,21.3376536799977,300.23393879744026,84.2032723971384,18.4276,2019-11-05 13:53:45,2020-01-19 00:00:00,None,,,0.042
10AYSEamn,196.168249753472,17.2336490269135,320.7890159992251,79.64358453885332,20.1811,2020-01-22 13:50:50.708000,2020-01-22 00:00:00,None,,,0.022000000000000002
10AYSEaey,192.12545796060397,19.9258083883047,297.44329759778395,82.76624615128623,20.0249,2020-01-19 14:26:35.683000,2020-01-19 00:00:00,None,,,0.021
10AYSEaoc,186.507060319099,12.043739242971098,280.13895239422624,73.78054401043195,20.4549,2020-01-22 13:57:10.504000,2020-01-22 00:00:00,None,,,0.022000000000000002
10AYSEamh,189.884979922285,-4.857029083229389,297.35043119574647,57.8857195590236,20.5369,2020-01-22 14:01:34.761000,2020-01-22 00:00:00,None,,,0.022000000000000002
2020azr,195.104908765268,-4.48741712696982,307.1960407570988,58.309947782577645,20.3556,2020-01-22 14:02:24,2020-01-26 00:00:00,None,,,0.025
2020aqs,197.98252483642602,-0.8364131089421759,313.75325938530636,61.60403046675544,18.448,2018-07-13 04:38:38.996000,2020-01-22 14:05:16,None,0.033,,0.0228
10AYSEanc,189.464208856282,-1.20685454883728,295.8090063762563,61.476924495376934,20.2813,2020-01-22 14:02:13.027000,2020-01-22 00:00:00,None,,,0.021
10AYSEami,192.478959497023,-4.326277255448661,302.2048219767579,58.54332147725808,20.0456,2020-01-22 14:02:50.411000,2020-01-22 00:00:00,None,,,0.026000000000000002
10AYSEamf,192.957341895565,-4.0833264982250395,303.12029910699187,58.788277909114484,20.3137,2020-01-22 14:02:50.411000,2020-01-22 00:00:00,None,,,0.021
2020azp,194.487934356263,-1.8898762955403101,306.2841353463547,60.93946700718245,20.18,2020-01-22 14:06:43,2020-01-26 00:00:00,None,,,0.015
10AYSEaog,195.866119075703,-4.52886076211383,308.62812977538505,58.209811463136774,20.6622,2020-01-22 14:04:04.754000,2020-01-22 00:00:00,None,,,0.027000000000000003
10AYSEamd,196.814743981967,-3.99985688792154,310.52950715378006,58.638309547750914,19.7418,2020-01-22 14:04:04.754000,2020-01-22 00:00:00,None,,,0.026000000000000002
2020anl,195.85014186599201,-3.5009347434884,308.77513639031076,59.235024632795216,19.9605,2020-01-05 12:05:26.998000,2020-01-22 00:00:00,None,,,0.023
2020azv,196.253252395658,-3.8065046619448797,309.4967468020049,58.89210058104866,20.18,2020-01-22 14:07:54.651000,2020-01-26 00:00:00,None,,,0.027999999999999997
2020azk,195.699707033416,-5.041728542780111,308.23393250314894,57.71301607869803,20.48,2020-01-22 14:07:54.651000,2020-01-26 00:00:00,None,,,0.033
2020afg,264.84809166666696,64.92164444444451,94.55874395205515,31.98105956827298,18.865,2020-01-18 12:50:56,2020-01-18 12:50:56,None,,,0.0394
